,Month,6_days_SR(%),7_days_SR(%)
0,17-Aug,67.74193548,93.5483871
1,17-Sep,30,40
2,17-Oct,58.06451613,67.74193548
3,17-Nov,26.66666667,40
4,17-Dec,25.80645161,51.61290323
5,18-Jan,41.93548387,51.61290323
6,18-Feb,7.142857143,10.71428571
7,18-Mar,3.225806452,3.225806452
8,18-Apr,36.66666667,43.33333333
9,18-May,58.06451613,67.74193548
10,18-Jun,60,80
11,18-Jul,61.29032258,77.41935484
12,18-Aug,48.38709677,83.87096774
13,18-Sep,86.66666667,100
14,18-Oct,61.29032258,77.41935484
15,18-Nov,30,30
16,18-Dec,41.93548387,45.16129032
17,19-Jan,70.96774194,93.5483871
18,19-Feb,75,96.42857143
19,19-Mar,70.96774194,90.32258065
20,19-Apr,53.33333333,73.33333333
21,19-May,87.09677419,96.77419355
22,19-Jun,53.33333333,70
23,19-Jul,77.41935484,83.87096774
24,19-Aug,70.96774194,87.09677419
25,19-Sep,23.33333333,36.66666667
26,19-Oct,25.80645161,29.03225806
27,19-Nov,70,86.66666667
28,19-Dec,3.225806452,3.225806452
29,20-Jan,77.41935484,87.09677419
30,20-Feb,86.20689655,96.55172414
31,20-Mar,54.83870968,67.74193548
32,20-Apr,30,36.66666667
33,20-May,54.83870968,64.51612903
34,20-Jun,73.33333333,96.66666667
35,20-Jul,64.51612903,87.09677419
36,20-Aug,22.58064516,45.16129032